Feature\Sample,CSM5FZ4E_P_profile,CSM5FZ4A_P_profile,CSM5MCUQ_P_profile,CSM5MCTZ_P_profile,CSM5MCXB_P_profile,CSM5MCYU_P_profile,CSM67U9T_P_profile,CSM79HNE_profile,CSM7KOP6_profile,CSM79HQR_P_profile,CSM7KOQ5_P_profile,CSM7KOUJ_P_profile,ESM5MEEJ_P_profile,ESM5MEAB_P_profile,ESM5MEC7_P_profile,HSM5MD87_P_profile,HSM6XRQE_P_profile,HSM7CZ1T_P_profile,HSM7CZ2X_P_profile,HSM7J4JT_P_profile,HSM7J4JV_P_profile,HSMA33NW_profile,MSM5LLHV_P_profile,MSM5LLIQ_P_profile,MSM6J2N6_P_profile,MSM79HF1_P_profile,MSM79H9U_P_profile,MSM79HBZ_profile,MSM79HD6_P_profile,MSM9VZN4_P_profile,MSM9VZLZ_profile,MSM9VZJF_P_profile,MSMA267V_profile,PSM6XBSE_P_profile,PSM6XBSG_P_profile,PSM7J1BV_profile,PSMA264O_profile,PSMA265X_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,0.12589,0.0,0.0,0.06344,11.47562,0.0,0.0,0.01169,0.14666,0.0,0.0,0.03498,0.0224,0.0,0.1163,0.13571,0.0,0.05867,0.31148,0.0,0.0,0.06362,0.0,0.0,0.93896,0.51006,1.66429,0.0,0.01225,0.0,0.0,1.32474,2.63485,0.00446,0.0,0.02908,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0.15304,0.13316,0.97259,0.13252,0.0,0.0,0.23196,0.11658,0.00777,0.67041,0.08845,0.0,0.0,0.0,0.0071,0.06898,0.0,0.50559,0.0,0.0,0.0,0.02295,0.12965,0.0,0.0,0.03454,0.02114,0.0,0.11233,0.18037,0.0,0.0,0.42752,0.0,0.0,0.0,0.01554,0.62922
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.0,0.0,0.0,0.0,0.15633,0.0,0.0,0.0,0.0,0.39286,0.0,0.0,0.0,0.80575,0.0062,0.37182,0.0,0.0,0.12955,0.0,0.04725,0.0,0.0,0.0,0.22034,0.03774,0.0,0.0,0.0,0.0,0.0,0.22837,0.00224,0.03005,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,0.0,0.0,0.0,0.0,0.12014,0.0,0.0313,0.0313,0.0,0.0,0.11334,0.0,0.13825,0.015,0.04158,0.16474,0.0,0.0,0.0,0.03857,0.0,0.38862,0.62655,0.0,0.0,0.0,0.0,0.0,0.00466,0.0,0.0,0.0,0.0,0.0,0.14873,0.0,0.14993,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,0.0,0.0,0.0,1.92527,0.0,2.35175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23589,0.0,0.0,0.0,0.0,0.03264,0.07651,0.0,0.0,3.9805,0.0,0.2666,1.25716,0.0,0.27835,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified,0.0,0.02323,0.70795,0.01245,0.06521,0.0,0.0,0.25597,0.61806,0.0,2.32711,0.02033,0.00817,0.0,0.02548,3.45847,0.0,0.54206,0.1251,0.9383,0.0,0.03082,0.01194,0.0,0.0,0.01121,0.0,0.0,0.0286,0.0,0.0,0.0,0.02216,0.0,0.02793,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium,0.2334,0.334,0.54857,0.0,0.08882,0.0,0.0,0.0,0.05789,0.0,0.00547,0.09813,0.0,0.51092,0.14196,0.0,0.0,0.0591,0.0,0.68653,0.05405,0.0165,0.0,0.0,0.1448,2.87312,0.00105,0.0,0.0,0.0,0.0,2.80145,0.29503,0.0,0.0,0.04636,0.0,0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified,0.00729,0.0,0.71829,0.00755,0.10964,0.0,0.00219,0.01132,0.0,0.0,0.05707,0.23848,0.0,0.15703,0.01834,0.0,0.0,0.05365,0.0,0.0,0.0,0.67504,2.66605,0.0,0.0,0.27593,0.03006,0.0,0.0,0.13167,0.0,0.00766,0.40709,0.0,0.0,0.13023,0.0,0.19178
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0.00303,0.02567,0.14807,0.09382,0.40094,0.05095,0.00356,0.0,0.07443,0.0,0.0,0.06075,0.0349,0.50467,0.10293,0.18038,4.90193,0.0,0.20151,0.24778,0.09177,0.0,0.11326,0.0,0.47378,0.61588,0.02994,0.0,0.02964,0.21003,0.0,1.18358,0.58496,0.0,0.02738,0.08072,0.0,0.27361
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium,0.0,0.0,0.15437,0.01437,0.0,0.0,0.07537,0.0,0.0,0.0,0.0,0.0,0.0,0.00861,0.05447,0.0,0.0,0.0,0.01884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05657,0.0,0.0,0.0,0.0057,0.00115,0.40543,0.0,0.0,0.03492,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella,0.0,0.0,0.04399,0.0,0.0,0.0,0.04737,0.0,0.0,0.0,0.0,0.0,0.01505,0.0,0.15783,0.0,0.0,0.0,0.00893,0.0,0.0,0.0,0.0784,0.0,0.0,0.0,0.0,1.65651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella,0.0,0.02824,0.01158,0.00192,0.09912,0.0,0.07804,0.25526,0.0,0.0,0.26879,0.0,0.02191,0.0,0.0,0.0,0.0,0.03213,0.00241,0.0,0.0,0.57367,0.0637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,0.0,0.0,0.15552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5136,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum,0.02369,0.0,0.00732,0.03231,0.00205,0.0,0.0,0.0,0.0,0.22263,0.00913,0.0,0.00594,0.0,0.0,0.00902,0.0,0.01541,0.08514,0.00758,0.0,0.0312,0.0,0.0,0.0,0.02504,0.02484,0.0,0.0,2.18264,0.0,0.14367,0.20978,0.02679,0.10679,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12998,1.75977,0.0,0.0,0.0,0.0,0.19127,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23118,1.00144,0.0,0.0,0.0,0.0,0.0,0.0,0.88879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger,0.00983,0.0,0.0,0.0,0.02416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03001,0.0,0.0,0.01732,0.00126,0.0,0.0,0.14303,0.00767,0.0,0.02233,0.0,0.0,0.01184,0.12662,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum,0.0,0.01783,0.0,0.0,0.0,0.0,0.0,0.26375,0.0,0.0,0.0,0.06441,0.0,0.0,0.0,0.0,0.0,0.00444,0.29086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor,0.0,0.0,0.0,0.0,0.00178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01893,0.0,0.0,0.01341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439,0.0,0.0,0.02016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,0.09613,0.08502,0.30675,0.00939,0.0,0.0,0.0,0.0,0.01392,0.0,0.0,0.0,0.0,0.0,0.00883,0.01101,0.0,0.00291,0.0,0.02549,0.0,0.04772,0.33464,0.0,0.0,0.0,0.01169,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.01188,0.0,0.02354
